#{"t_start": 1652967960.699577, "env_id": null}
r,l,t
7.098,804,29.818094
-1.489,472,45.724139
5.08,880,75.235415
-0.309,297,85.356434
-0.286,273,94.657274
19.356,1574,147.127653
4.515,463,162.689411
13.096,857,191.290696
0.562,416,205.417379
5.203,749,230.468666
2.555,428,244.949698
10.16,803,271.753278
2.391,586,291.35129
15.982,971,323.945587
3.606,377,336.590428
-0.141,135,341.291367
5.772,1169,380.279097
6.883,1020,414.237992
7.132,833,442.459912
0.785,205,449.470445
-0.107,101,453.005061
4.27,699,476.460897
1.614,318,487.190483
3.627,353,499.138491
-0.141,131,503.652478
0.757,230,511.454675
4.614,370,523.936776
-0.56,540,542.020831
9.815,1136,580.286314
5.014,1702,641.154142
0.642,338,652.656931
0.817,176,658.637874
2.749,238,666.713736
12.936,910,697.121453
7.37,600,717.154141
3.627,357,729.123409
1.664,321,739.98306
4.742,245,748.354683
3.683,296,758.355673
-0.261,231,766.244548
-1.273,262,775.22173
5.269,702,798.958077
3.743,246,807.424152
6.45,524,824.934522
9.339,631,846.13102
6.566,415,860.102554
2.695,292,870.047318
2.451,527,887.725429
0.536,446,902.800997
1.634,351,914.60614
7.423,551,933.026327
8.501,475,949.008059
0.875,120,953.173953
-1.088,85,956.124136
2.479,500,972.866984
-1.34,324,983.801341
7.019,940,1015.367608
-2.098,94,1018.685426
6.481,496,1035.333426
2.849,140,1040.119241
3.172,782,1066.270754
4.794,191,1072.779917
4.544,437,1087.541593
3.42,556,1106.150091
5.825,1130,1143.876296
3.604,381,1156.658329
3.202,767,1182.470836
-1.092,88,1185.572224
0.627,349,1197.379513
11.752,2043,1265.520851
8.025,933,1296.608912
7.102,864,1325.48197
0.585,393,1338.754228
8.319,651,1360.492846
9.139,825,1388.002585
11.252,715,1412.021351
4.322,650,1434.010921
-0.456,438,1449.101763
2.726,262,1461.652704
12.273,699,1490.280186
1.41,532,1508.795914
3.482,499,1525.712286
9.272,699,1549.12893
3.137,830,1577.211118
2.804,188,1583.936031
3.552,428,1598.846949
4.496,480,1614.915946
2.632,354,1626.83347
0.48,500,1643.580172
-0.212,204,1650.547436
0.875,960,1682.563261
1.638,347,1694.300835
3.453,511,1711.401496
6.245,722,1735.546719
4.416,563,1754.364246
2.728,259,1763.150643
2.377,599,1783.156103
5.824,1002,1816.581062
-0.243,234,1824.549467
3.381,547,1842.834559
3.414,518,1860.234292
-1.37,289,1869.99572
0.776,217,1877.355929
3.446,534,1895.262196
0.622,364,1907.481637
-1.092,88,1910.58795
4.506,466,1926.199555
13.947,1010,1959.836653
1.635,353,1971.890523
5.369,601,1992.049331
6.368,608,2012.421434
-0.199,192,2019.048975
16.693,1257,2061.224574
5.338,639,2082.649566
1.603,379,2095.502041
3.728,261,2104.416584
2.384,560,2123.228069
6.184,777,2149.16
7.42,556,2167.833333
1.717,272,2177.201059
-0.64,552,2195.700955
1.69,296,2205.782819
2.638,349,2217.633807
1.618,368,2230.139372
0.404,570,2249.352121
1.627,359,2261.450248
6.656,329,2272.615866
-1.411,335,2283.828423
2.755,233,2291.779976
2.755,220,2299.416188
7.148,818,2326.774813
-1.122,111,2330.603646
0.672,318,2341.317507
13.229,734,2365.907005
1.67,319,2376.668891
6.574,409,2390.528013
13.664,1212,2430.955209
1.889,105,2434.597615
-1.56,461,2450.158261
20.897,1054,2485.446716
1.763,227,2493.195708
-1.28,271,2502.554125
2.592,394,2515.800908
-0.322,312,2526.291189
3.545,433,2540.887928
2.664,323,2551.768498
-0.315,304,2561.98547
5.345,628,2583.051699
2.424,515,2600.352197
3.418,560,2619.064498
10.184,780,2645.11793
-0.211,200,2651.890363
1.703,286,2661.544042
0.947,50,2663.351704
-0.529,505,2680.322249
3.458,523,2697.890608
1.792,197,2704.842454
2.792,200,2711.686459
5.435,547,2729.994523
-1.04,39,2731.471176
-0.467,453,2746.856912
3.673,316,2757.685206
6.536,445,2772.674918
0.424,559,2791.359074
2.501,480,2807.593356
0.828,165,2813.19015
1.781,211,2820.354165
7.394,582,2839.848732
-2.1,97,2843.231874
2.637,349,2855.02641
-1.701,654,2877.030212
-0.409,392,2890.268305
9.051,913,2920.771044
5.121,1717,2978.109445
2.606,378,2990.854588
3.428,551,3009.23904
6.22,751,3034.262452
4.508,473,3050.173648
0.853,142,3055.006677
3.659,328,3066.096713
3.786,205,3073.132714
12.909,1051,3108.162388
7.738,1042,3142.935699
-2.076,72,3145.524796
0.516,468,3161.385807
-1.169,164,3167.130011
-1.236,228,3174.94468
-0.117,112,3178.890105
2.45,530,3196.682916
11.479,497,3213.383196
2.783,208,3220.526352
11.981,977,3253.175906
2.548,427,3267.541152
4.623,363,3279.82061
6.385,591,3299.580343
2.437,543,3317.908333
-1.12,116,3321.917158
5.485,494,3338.422716
11.145,821,3365.926384
3.467,513,3383.131767
-2.054,53,3385.068049
4.643,342,3396.562316
2.571,410,3410.380829
6.067,828,3437.970076
9.152,815,3465.384967
0.652,335,3476.859284
7.051,907,3507.258383
5.472,506,3524.30619
10.152,812,3552.010221
7.514,467,3567.736755
2.782,1103,3604.409872
-0.148,140,3609.277624
12.095,866,3638.249862
7.395,580,3657.761184
6.245,726,3681.943964
7.986,973,3714.436811
15.945,1011,3748.095704
16.097,864,3777.24618
11.008,953,3809.095621
14.165,800,3835.915938
11.77,1163,3874.767359
5.609,375,3887.378662
3.392,586,3907.29457
10.32,650,3929.152065
0.602,384,3942.097012
